Jogador,Posição em quadra,Jogo,Min em quadra,Centesimos de minutos,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Eficiência,Duplos Duplos,Triplos Duplos
Deodato #1,Ala,39,22,6,10.15,5.92,3.49,0.74,3.56,3.56,2.92,1.92,1.56,1.23,5.00,1.97,39.49,1.74,2.77,62.96,0.74,1.23,60.42,0.18,0.74,0.48,0.33,1.44,0.23,1.56,0.18,10.62,0.00,0.00
Tiago #13,Pivô,32,21,74,4.16,3.00,0.94,0.22,3.41,3.41,2.53,0.69,0.84,0.81,03.09,1.00,32.32,0.47,1.50,31.25,0.22,0.44,50.00,0.03,0.75,0.89,0.03,1.59,0.02,0.84,0.22,4.84,0.03,0.00
Amardi #7,Pivô,25,21,58,8.44,3.00,4.80,0.64,5.00,5.00,4.20,0.92,1.44,0.64,3.20,1.00,31.25,2.40,4.48,53.57,0.64,1.12,57.14,0.68,1.40,0.97,0.32,2.76,0.12,1.44,0.28,9.88,0.08,0.00
Paulichi #13,Ala/Pivô,30,21,54,7.50,4.10,2.87,0.53,3.00,3.00,1.87,0.90,0.93,0.96,3.50,1.37,39.05,1.43,2.53,56.58,0.53,0.93,57.14,0.17,0.70,0.75,0.33,2.60,0.13,0.93,0.20,7.87,0.00,0.00
Hamilton #6,Ala,34,21,44,9.74,3.79,4.88,01.06,3.88,3.88,2.53,02.06,1.56,1.32,3.32,1.26,38.05,2.44,05.09,47.98,01.06,1.35,78.26,0.00,0.82,0.53,0.12,2.32,0.05,1.56,0.50,10.06,0.00,0.00
Gerson #1,Pivô,29,21,36,8.97,0.00,7.17,1.79,3.52,3.52,2.24,0.34,0.97,0.36,0.07,0.00,0.00,3.59,5.97,60.12,1.79,2.45,73.24,0.59,0.55,0.57,0.21,2.34,0.09,0.97,0.14,9.52,0.00,0.00
Corvalán #7,Armador,34,21,6,9.50,3.97,03.06,2.47,1.85,1.85,1.56,1.62,1.59,01.02,3.65,1.32,36.29,1.53,2.82,54.17,2.47,03.03,81.55,0.09,0.85,0.54,0.03,2.26,0.01,1.59,0.32,08.09,0.00,0.00
Paranhos #24,Pivô,41,20,93,9.88,0.00,8.59,1.29,5.24,5.24,3.68,0.83,1.51,0.55,0.27,0.00,0.00,4.29,7.15,60.07,1.29,2.17,59.55,0.76,0.59,0.39,0.17,2.54,0.07,1.51,0.32,11.20,0.15,0.00
Pecos #14,Armador,35,20,85,8.66,1.63,5.54,1.49,4.54,4.54,3.66,4.29,1.34,3.19,1.69,0.54,32.20,2.77,5.83,47.55,1.49,1.86,80.00,0.00,0.80,0.60,0.06,1.46,0.04,1.34,0.14,12.43,0.00,0.00
Hubner #77,Pivô,30,20,77,7.50,3.20,3.67,0.63,4.63,4.63,3.40,0.73,1.23,0.59,3.43,01.07,31.07,1.83,3.23,56.70,0.63,0.87,73.08,0.13,0.37,0.30,0.10,2.23,0.04,1.23,0.10,8.10,0.03,0.00
Brite #3,Armador,39,20,74,9.13,04.08,3.95,1.10,2.56,2.56,1.77,2.33,1.10,2.12,3.79,1.36,35.81,1.97,4.00,49.36,1.10,1.36,81.13,0.03,1.36,1.23,0.08,2.44,0.03,1.10,0.18,9.64,0.03,0.00
Hettsheimeir #30,Pivô,31,20,63,11.65,4.74,5.10,1.81,4.26,4.26,3.19,0.65,1.10,0.59,4.00,1.58,39.52,2.55,3.90,65.29,1.81,2.35,76.71,0.10,0.48,0.44,0.10,1.65,0.06,1.10,0.42,11.71,0.00,0.00
Morillo #0,Ala/Armador,24,20,53,7.54,3.00,3.33,1.21,3.21,3.21,2.88,2.38,1.54,1.54,3.00,1.00,33.33,1.67,3.71,44.94,1.21,1.54,78.38,0.00,1.00,0.65,0.21,1.63,0.13,1.54,0.25,8.42,0.04,0.00
Michel #24,Ala/Armador,35,20,37,5.43,3.43,1.60,0.40,2.34,2.34,1.63,1.60,1.20,1.33,4.20,1.14,27.21,0.80,1.94,41.18,0.40,0.86,46.67,0.00,1.43,1.19,0.00,02.09,0.00,1.20,0.29,4.94,0.00,0.00
Faggiano #3,Armador,31,20,31,5.61,1.45,3.61,0.55,03.06,03.06,2.52,2.61,1.55,1.69,1.71,0.48,28.30,1.81,3.55,50.91,0.55,0.68,80.95,0.00,0.77,0.50,0.06,1.42,0.05,1.55,0.19,7.48,0.00,0.00
