Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
Colina #88,7,2.22,1.00,0.43,0.57,0.00,0.29,0.29,0.14,0.29,0.00,1.00,0.29,0.14,50.00,0.29,0.57,50.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.00,0.14,0.00,0.00,0.00,0.00,1.29,1.00,0.29,0.29,0.14,0.00,1.29,1.00,0.29,0.29,0.14,0.00,0.00,0.00
Augusto #13,18,05.04,0.94,0.00,0.56,0.39,1.00,1.00,0.61,0.11,0.22,0.50,0.00,0.00,0.00,0.28,0.94,29.41,0.39,0.61,63.64,0.00,0.11,0.22,0.50,0.06,0.28,0.20,0.22,0.00,0.22,1.11,0.94,1.00,0.11,0.11,0.06,1.11,0.94,1.00,0.11,0.11,0.06,0.00,0.00
Emanuel #9,14,3.40,0.93,0.21,0.57,0.14,1.00,1.00,0.64,0.14,0.29,0.50,0.43,0.07,16.67,0.29,0.43,66.67,0.14,0.29,50.00,0.14,0.00,0.29,0.00,0.00,0.57,0.00,0.29,0.14,0.29,1.14,0.93,1.00,0.14,0.00,0.00,1.14,0.93,1.00,0.14,0.00,0.00,0.00,0.00
Samuel #7,11,5.13,0.91,0.00,0.55,0.36,1.73,1.73,0.73,0.45,0.18,2.50,0.00,0.00,0.00,0.27,0.45,60.00,0.36,0.73,50.00,0.00,0.09,0.18,0.50,0.00,0.64,0.00,0.18,0.00,0.18,2.45,0.91,1.73,0.45,0.09,0.00,2.45,0.91,1.73,0.45,0.09,0.00,0.00,0.00
Ivan Neto #23,10,3.92,0.90,0.00,0.60,0.30,0.30,0.30,0.20,0.20,0.30,0.67,0.50,0.00,0.00,0.30,0.50,60.00,0.30,0.40,75.00,0.10,0.10,0.30,0.33,0.00,0.80,0.00,0.30,0.10,0.30,0.40,0.90,0.30,0.20,0.10,0.00,0.40,0.90,0.30,0.20,0.10,0.00,0.00,0.00
Capela #5,5,3.83,0.80,0.00,0.80,0.00,0.20,0.20,0.20,0.60,0.40,1.50,0.20,0.00,0.00,0.40,1.00,40.00,0.00,0.60,0.00,0.00,0.40,0.40,1.00,0.00,0.80,0.00,0.40,0.00,0.40,0.20,0.80,0.20,0.60,0.40,0.00,0.20,0.80,0.20,0.60,0.40,0.00,0.00,0.00
Lucas #9,4,01.06,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.50,0.25,50.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.25,1.00,0.00,0.25,0.00,0.25,0.25,0.25,0.25,0.75,0.00,0.00,0.25,0.00,0.25,0.75,0.00,0.00,0.25,0.00,0.00,0.00
Kaique #4,13,5.52,0.69,0.23,0.46,0.00,0.38,0.38,0.31,0.23,0.38,0.60,0.69,0.08,11.11,0.23,1.00,23.08,0.00,0.23,0.00,0.00,0.08,0.38,0.20,0.00,1.69,0.00,0.38,0.15,0.38,-0.62,0.69,0.38,0.23,0.08,0.00,-0.62,0.69,0.38,0.23,0.08,0.00,0.00,0.00
Daniel #21,3,4.71,0.67,0.00,0.67,0.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,0.00,0.00,0.33,0.33,100.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.67,0.00,0.33,0.00,0.33,0.33,0.67,1.00,0.00,0.00,0.00,0.33,0.67,1.00,0.00,0.00,0.00,0.00,0.00
Dida #22,18,6.19,0.67,0.00,0.44,0.22,1.33,1.33,01.06,0.28,0.67,0.42,0.00,0.00,0.00,0.22,0.28,80.00,0.22,0.28,80.00,0.00,0.17,0.67,0.25,0.06,1.44,0.04,0.67,0.11,0.67,1.72,0.67,1.33,0.28,0.17,0.06,1.72,0.67,1.33,0.28,0.17,0.06,0.00,0.00
Bruno #21,5,0.64,0.60,0.60,0.00,0.00,0.20,0.20,0.20,0.00,0.00,1.00,0.20,0.20,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.80,0.60,0.20,0.00,0.00,0.00,0.80,0.60,0.20,0.00,0.00,0.00,0.00,0.00
Murilo #7,5,3.25,0.60,0.00,0.40,0.20,0.20,0.20,0.20,0.00,0.00,1.00,0.20,0.00,0.00,0.20,0.40,50.00,0.20,0.40,50.00,0.00,0.00,0.00,1.00,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.60,0.20,0.00,0.00,0.00,0.20,0.60,0.20,0.00,0.00,0.00,0.00,0.00
Pedrão #6,2,1.88,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,1.00,50.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-0.50,0.50,0.00,0.00,0.00,0.00,-0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Gueiros #8,5,02.01,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,1.00,0.00,0.00,0.00,0.20,0.40,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.40,0.40,0.00,0.20,0.00,0.00,0.40,0.40,0.00,0.20,0.00,0.00,0.00,0.00
Evandro #1,5,2.87,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.20,0.60,33.33,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00
Lucas #7,13,3.00,0.38,0.00,0.15,0.23,0.15,0.15,0.08,0.08,0.00,1.00,0.00,0.00,0.00,0.08,0.08,100.00,0.23,0.46,50.00,0.00,0.00,0.00,1.00,0.00,0.46,0.00,0.00,0.00,0.00,0.38,0.38,0.15,0.08,0.00,0.00,0.38,0.38,0.15,0.08,0.00,0.00,0.00,0.00
Rocha #8,6,1.39,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.17,0.17,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,100.00,0.00,0.00,0.17,0.00,0.00,0.33,0.00,0.17,0.00,0.17,0.33,0.33,0.00,0.17,0.00,0.00,0.33,0.33,0.00,0.17,0.00,0.00,0.00,0.00
Vitinho #1,15,3.75,0.27,0.00,0.27,0.00,0.53,0.53,0.40,0.27,0.27,1.00,0.20,0.00,0.00,0.13,0.33,40.00,0.00,0.00,0.00,0.07,0.20,0.27,0.75,0.00,0.20,0.00,0.27,0.00,0.27,0.60,0.27,0.53,0.27,0.20,0.00,0.60,0.27,0.53,0.27,0.20,0.00,0.00,0.00
Léo Abreu #13,8,3.76,0.25,0.00,0.25,0.00,0.25,0.25,0.25,1.13,0.25,4.50,0.25,0.00,0.00,0.13,0.88,14.29,0.00,0.00,0.00,0.00,0.13,0.25,0.50,0.00,0.75,0.00,0.25,0.00,0.25,0.50,0.25,0.25,1.13,0.13,0.00,0.50,0.25,0.25,1.13,0.13,0.00,0.00,0.00
Contreras #5,1,2.78,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
Speranzini #8,1,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fernando #5,1,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
João Paulo #24,1,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raviery #7,1,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbosa #11,1,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamelao #99,1,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J.V. Martins #12,1,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Danilo #4,1,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Calderon #6,1,01.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enrico #15,1,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
P. Ruan #3,1,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel #12,2,2.63,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
Felipão #0,2,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,1.00,0.50,0.00,0.50,-0.50,0.00,0.00,0.00,0.00,0.50,-0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00
Garcia #15,2,01.02,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,0.50,0.50,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
Dalaqua #8,2,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luís Piá #13,2,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caio #3,2,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Motta #0,3,02.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,2.00,0.00,0.00,1.00,0.33,0.00,0.33,-0.33,0.00,0.00,0.33,0.67,0.00,-0.33,0.00,0.00,0.33,0.67,0.00,0.00,0.00
João Mini #1,3,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,1.00,0.33,0.33,0.33,-0.67,0.00,0.00,0.00,0.00,0.00,-0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paschoal #8,4,03.08,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.25,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,1.00,0.25,0.25,0.25,-0.50,0.00,0.50,0.00,0.00,0.00,-0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00
Gusthavo S #6,12,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.25,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.08,0.00,1.00,0.00,0.17,0.00,0.00,0.00,0.00,-0.50,0.00,0.00,0.00,0.08,0.00,-0.50,0.00,0.00,0.00,0.08,0.00,0.00,0.00
Thiago #20,13,2.10,0.00,0.00,0.00,0.00,0.23,0.23,0.23,0.00,0.31,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.31,0.25,0.00,0.08,0.00,0.31,0.08,0.31,-0.15,0.00,0.23,0.00,0.08,0.00,-0.15,0.00,0.23,0.00,0.08,0.00,0.00,0.00
