Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
Jefferson #10,25,19.16,10.40,3.96,4.88,1.56,3.96,3.96,2.80,1.00,1.36,0.74,3.68,1.32,35.87,2.44,5.24,46.56,1.56,02.08,75.00,0.00,0.80,1.36,0.59,0.20,1.36,0.15,1.36,0.16,1.36,9.32,10.40,3.96,1.00,0.80,0.20,9.32,10.40,3.96,1.00,0.80,0.20,0.00,0.00
Von Haydin #30,30,28.42,10.37,5.20,4.27,0.90,4.70,4.70,3.17,2.47,1.90,1.30,5.83,1.73,29.71,2.13,3.57,59.81,0.90,1.13,79.41,0.00,01.07,1.90,0.56,0.07,1.20,0.06,1.90,0.37,1.90,11.00,10.37,4.70,2.47,01.07,0.07,11.00,10.37,4.70,2.47,01.07,0.07,0.03,0.00
Buffat #9,38,26.06,10.32,3.32,5.37,1.63,3.71,3.71,2.50,2.63,2.53,01.04,3.58,1.11,30.88,2.68,05.08,52.85,1.63,2.24,72.94,0.13,1.21,2.53,0.48,0.24,2.47,0.10,2.53,0.34,2.53,10.11,10.32,3.71,2.63,1.21,0.24,10.11,10.32,3.71,2.63,1.21,0.24,0.00,0.00
Lessa #32,32,29.43,10.22,4.59,3.88,1.75,3.38,3.38,2.66,4.63,2.69,1.72,4.28,1.53,35.77,1.94,4.56,42.47,1.75,2.47,70.89,0.00,1.13,2.69,0.42,0.00,2.19,0.00,2.69,0.28,2.69,10.56,10.22,3.38,4.63,1.13,0.00,10.56,10.22,3.38,4.63,1.13,0.00,0.03,0.00
Deodato #1,39,22.06,10.15,5.92,3.49,0.74,3.56,3.56,2.92,1.92,1.56,1.23,5.00,1.97,39.49,1.74,2.77,62.96,0.74,1.23,60.42,0.18,0.74,1.56,0.48,0.33,1.44,0.23,1.56,0.18,1.56,10.62,10.15,3.56,1.92,0.74,0.33,10.62,10.15,3.56,1.92,0.74,0.33,0.00,0.00
Dawkins #14,32,25.80,10.13,4.50,4.13,1.50,2.28,2.28,1.78,4.31,2.13,02.03,4.88,1.50,30.77,02.06,4.22,48.89,1.50,2.13,70.59,0.00,1.19,2.13,0.56,0.03,1.97,0.02,2.13,0.25,2.13,9.66,10.13,2.28,4.31,1.19,0.03,9.66,10.13,2.28,4.31,1.19,0.03,0.09,0.00
André Goes #40,32,26.45,10.09,4.31,3.88,1.91,4.31,4.31,3.75,4.28,1.84,2.32,4.50,1.44,31.94,1.94,4.63,41.89,1.91,2.28,83.56,0.00,1.13,1.84,0.61,0.19,02.03,0.09,1.84,0.13,1.84,12.03,10.09,4.31,4.28,1.13,0.19,12.03,10.09,4.31,4.28,1.13,0.19,0.00,0.00
L. Lacerda #10,23,23.98,10.04,4.70,3.13,2.22,2.39,2.39,02.04,3.96,1.83,2.17,4.52,1.57,34.62,1.57,3.13,50.00,2.22,2.43,91.07,0.00,0.74,1.83,0.40,0.04,1.65,0.03,1.83,0.17,1.83,10.61,10.04,2.39,3.96,0.74,0.04,10.61,10.04,2.39,3.96,0.74,0.04,0.00,0.00
Jimmy #18,39,27.14,10.00,4.85,4.67,0.49,3.23,3.23,2.54,1.36,1.26,01.08,4.36,1.62,37.06,2.33,4.67,50.00,0.49,0.67,73.08,0.10,0.92,1.26,0.73,0.08,1.74,0.04,1.26,0.15,1.26,09.08,10.00,3.23,1.36,0.92,0.08,09.08,10.00,3.23,1.36,0.92,0.08,0.00,0.00
Marquinhos #11,18,24.86,9.94,3.33,4.11,2.50,3.78,3.78,3.33,2.00,1.50,1.33,3.22,1.11,34.48,02.06,5.11,40.22,2.50,3.22,77.59,0.11,0.78,1.50,0.52,0.17,2.33,0.07,1.50,0.06,1.50,9.28,9.94,3.78,2.00,0.78,0.17,9.28,9.94,3.78,2.00,0.78,0.17,0.00,0.00
