,nome,estado,latitude,longitude
4301,Sagrada Família,43,-27.7085,-53.1351
4302,Sagres,35,-21.8823,-50.9594
4303,Sairé,26,-8.32864,-35.6967
4304,Saldanha Marinho,43,-28.3941,-53.097
4305,Sales,35,-21.3427,-49.4897
4306,Sales Oliveira,35,-20.7696,-47.8369
4307,Salesópolis,35,-23.5288,-45.8465
4308,Salete,42,-26.9798,-49.9988
4309,Salgadinho,25,-7.10098,-36.8458
4310,Salgadinho,26,-7.9269,-35.6503
4311,Salgado,28,-11.0288,-37.4804
4312,Salgado de São Félix,25,-7.35337,-35.4305
4313,Salgado Filho,41,-26.1777,-53.3631
4314,Salgueiro,26,-8.07373,-39.1247
4315,Salinas,31,-16.1753,-42.2964
4316,Salinas da Margarida,29,-12.873,-38.7562
4317,Salinópolis,15,-0.630815,-47.3465
4318,Salitre,23,-7.28398,-40.45
4319,Salmourão,35,-21.6267,-50.8614
4320,Saloá,26,-8.9723,-36.691
4321,Saltinho,42,-26.6049,-53.0578
4322,Saltinho,35,-22.8442,-47.6754
4323,Salto,35,-23.1996,-47.2931
4324,Salto da Divisa,31,-16.0063,-39.9391
4325,Salto de Pirapora,35,-23.6474,-47.5743
4326,Salto do Céu,51,-15.1303,-58.1317
4327,Salto do Itararé,41,-23.6074,-49.6354
4328,Salto do Jacuí,43,-29.0951,-53.2133
4329,Salto do Lontra,41,-25.7813,-53.3135
4330,Salto Grande,35,-22.8894,-49.9831
4331,Salto Veloso,42,-26.903,-51.4043
4332,Salvador,29,-12.9718,-38.5011
4333,Salvador das Missões,43,-28.1233,-54.8373
4334,Salvador do Sul,43,-29.4386,-51.5077
4335,Salvaterra,15,-0.758444,-48.5139
4336,Sambaíba,21,-7.13447,-45.3515
4337,Sampaio,17,-5.35423,-47.8782
4338,Sananduva,43,-27.947,-51.8079
4339,Sanclerlândia,52,-16.197,-50.3124
4340,Sandolândia,17,-12.538,-49.9242
4341,Sandovalina,35,-22.4551,-51.7648
4342,Sangão,42,-28.6326,-49.1322
4343,Sanharó,26,-8.36097,-36.5696
4344,Sant'Ana do Livramento,43,-30.8773,-55.5392
4345,Santa Adélia,35,-21.2427,-48.8063
4346,Santa Albertina,35,-20.0311,-50.7297
4347,Santa Amélia,41,-23.2654,-50.4288
4348,Santa Bárbara,29,-11.9515,-38.9681
4349,Santa Bárbara,31,-19.9604,-43.4101
4350,Santa Bárbara d'Oeste,35,-22.7553,-47.4143
4351,Santa Bárbara de Goiás,52,-16.5714,-49.6954
4352,Santa Bárbara do Leste,31,-19.9753,-42.1457
4353,Santa Bárbara do Monte Verde,31,-21.9592,-43.7027
