placa,I1,O1,I2
SDS6F97,551.44,2153.0,3231.2398721467816
SDS6F98,520.49,2408.5,2957.8033969702137
SDS6F99,453.39,1804.0,880.9929723909313
SDS6G01,390.95,1732.0,2584.4944120176783
SDS6G03,551.44,2075.0,3788.578991968936
SDS6G04,526.29,2655.0,3501.635442319588
SDS6G05,201.3,551.0,3672.6705916857945
SDS6G08,467.41999999999996,1626.0,4586.599323147896
SDS6G09,245.06,2092.0,2220.71771143212
SDS6G12,439.12,1605.0,2774.2824581156297
SDS6I01,487.76,1699.0,1397.8381356335256
SDS6I04,568.4300000000001,2877.5,2246.0015994944497
SDS6I06,211.70000000000002,407.0,2212.442267298907
SDS6I07,347.68,1830.0,2908.568701164157
SDS6I09,253.64999999999998,1047.0,1207.7560943854726
SDS6I10,540.84,2762.0,2489.738900516886
SDS6I11,656.27,3331.0,2547.900422206944
SDS6I13,352.92,1360.0,2490.576495677138
SDS6I15,489.65000000000003,2832.0,112.36173552089178
SDS6I17,475.69,2156.0,1461.1463439246838
SDS6I20,526.1,2447.0,2729.3551125371923
SDS6I21,609.67,3863.0,2400.190269900869
SDS6I23,557.71,2189.0,1087.186801891369
SDS6I26,540.97,2610.0,1503.090333961199
SDS6I27,363.12,1766.0,2399.682917464432
SDS6I29,556.5999999999999,3074.0,498.1566139300033
SDS6I30,375.86,1790.0,1790.506393706475
SDS6I32,632.23,2694.0,1406.2446132065415
SDS6I34,389.48,1949.0,2339.6572883864374
SDS6I36,461.12,1984.0,1966.5250939123405
SDS6I38,486.26,2115.0,2176.6742060080137
SDS6I40,446.6599999999999,2236.0,3060.6433251819885
SDS6I41,272.9,1065.0,2977.037713999633
SDS6I47,818.9300000000001,4133.0,2645.0539390898625
SDS6I49,386.83,2075.0,1655.1332586959456
SDS6I53,587.1600000000001,3893.0,1701.803189449323
SDS6I63,300.28000000000003,1238.0,1805.4634177434605
SDS6I67,598.0,2952.0,1883.098478703601
SDS6I70,280.32,1392.0,1607.042363160086
SDS6I71,519.95,3207.0,2173.6202914469004
SDS6I81,387.15999999999997,2030.5,2637.168482654547
SDS6I83,531.78,2738.0,723.819305686947
SDS6I85,393.77000000000004,1556.0,3011.3798206513084
SDS6I90,687.1300000000001,3313.0,2434.776981831407
SDS6I91,427.01000000000005,1386.0,1671.0349521641022
SDS6I94,419.34999999999997,1581.0,3110.491299074201
SDS6I96,267.05,1522.0,2305.737249949122
SDS6J01,302.85,1736.0,1313.6351762128147
SDS6J02,420.89000000000004,1652.0,1813.528907359836
SDS6J04,367.07,1681.0,2339.001165951704
SDS6J05,709.53,3207.0,3123.6685596814505
SDS7C89,265.06,1047.0,1302.5378265669656
SDS7C92,477.21000000000004,1870.0,2081.901846228897
SDS7C96,485.12,1766.0,2513.409472979847
SDS7D35,338.4,1766.0,2815.9802113336527
SDS7D36,413.0,2302.5,2162.134423012857
SDS7D38,72.48,0.0,2956.452224830147
SDS7D39,553.99,3225.0,1903.7384830777169
SDS7D40,324.78999999999996,1483.0,3178.551425624196
SDS7D42,480.20000000000005,2350.0,1121.9147622718956
SDS7D45,213.42,1133.0,2768.2118245625684
SDS7D49,493.29,3160.0,2560.741717466468
